alpha,a,b,c,phi1,PHI,phi2,volume,phaseID
34.402443,9.504418,8.5888405,9.504418,175.83393727228378,114.97820752527326,65.35283668916261,3249.932,1
144.50124,3.3412163,1.8681146,3.3412163,114.94698321167903,78.87539180286575,275.97814768815323,87.35773,1
2.172043,1.1942743,0.46469358,1.1942743,46.77256192437663,67.89476632592272,162.21691645710266,2.776281,1
101.869446,0.78273237,0.9385045,0.78273237,165.06449739376444,115.50055882240774,331.7293634453962,2.4085274,1
1.5053148,7.826983,2.969385,7.826983,107.36520874872974,78.47330083345139,345.7114734705864,761.9806,1
125.36688,2.3085263,2.3929634,2.3085263,284.2095604115157,89.77699455752894,101.16907544887276,53.41882,1
161.38658,3.0846033,1.9201312,3.0846033,189.66988719871125,5.52815112596142,5.466367811094151,76.52761,1
23.438698,0.95267504,0.41915077,0.95267504,300.61939550502956,110.86390946375707,43.98838788105325,1.5934868,1
0.8736953,10.18858,3.833284,10.18858,112.6280720701081,67.48897097510941,148.14199673575158,1666.813,1
3.1770868,9.451825,1.5396942,9.451825,96.75097883354965,137.45133162803344,197.38187436039934,576.17505,1
113.279816,4.601913,4.835459,4.601913,285.51460223336926,116.79849036561147,164.84358894919694,428.94656,1
46.037773,3.0540717,3.3750741,3.0540717,320.91875886140514,48.005108564241944,151.48550066688597,131.86526,1
30.11519,4.479902,2.7887037,4.479902,287.38017170914,84.65796753436466,124.74716448575035,234.43799,1
139.32149,1.0305556,0.7909582,1.0305556,187.65674866963838,108.54638564697859,335.96106442646646,3.5187228,1
176.66579,1.1220431,0.60279113,1.1220431,319.43657849640675,71.70522341126501,43.95277881283408,3.1788836,1
166.90633,6.3373213,4.375527,6.3373213,193.84199997968676,24.27102768362198,83.1581336414145,736.0892,1
4.906036,1.3098955,0.74586546,1.3098955,92.66552692653521,78.79671786105665,331.8228094932398,5.3607116,1
109.84849,0.41185603,1.1747173,0.41185603,301.9771097000676,82.74214077320293,165.21212224457753,0.8346662,1
178.01898,2.053344,0.88006437,2.053344,232.5741083430939,65.21352252240055,185.73738480492918,15.542702,1
0.13563374,7.4897394,2.6565661,7.4897394,358.25605789252967,141.8400582375776,52.15881418820402,624.2271,1
68.49254,1.0339489,2.1896918,1.0339489,178.72368709063463,93.86373463232206,359.85697239205314,9.8055,1
7.21558,1.0642467,0.8239951,1.0642467,317.3749156855339,123.57154643515693,95.68431236265685,3.9092896,1
0.7231541,11.521245,1.8632888,11.521245,57.10597860560728,65.59013026508526,161.0365445546205,1036.0187,1
8.822477,1.1238822,0.45653006,1.1238822,244.62973569753288,70.10730263910348,321.551724290926,2.4154584,1
52.346085,1.0518516,1.2650884,1.0518516,32.06802932366678,109.83641608217563,335.2926170489566,5.862981,1
135.45215,0.7997764,0.64215475,0.7997764,174.82591820796412,128.05410350431376,112.03616567158237,1.7205427,1
1.2817346,3.47515,2.2581728,3.47515,27.272031941602,55.95452970870535,26.842106177455538,114.23335,1
99.29648,1.6703553,2.0357382,1.6703553,147.39079627694633,76.58231408695804,167.7759293226148,23.791853,1
178.67883,9.411977,1.9605151,9.411977,170.15982941068407,129.1080115336185,355.36913487630596,727.4791,1
166.95187,1.001255,0.5077307,1.001255,37.41914874087162,33.898291469049205,44.87263772296627,2.1321192,1
155.12471,5.8559937,2.3690805,5.8559937,315.42104955305877,52.3243865088984,40.58210924188846,340.30603,1
35.431118,1.0989377,0.9189872,1.0989377,347.9758702036995,88.9952241840421,148.49012273332897,4.6488366,1
64.6599,2.4159625,4.555849,2.4159625,218.37426442460432,115.05540749214214,41.287621392874144,111.38798,1
14.41142,1.5514472,1.4042435,1.5514472,333.47106389020706,112.25216149855241,358.00441784221783,14.1581,1
178.5791,11.459755,3.9917722,11.459755,111.357087997412,108.47444386819635,291.68560556039387,2195.8618,1
26.013304,1.631056,1.2143638,1.631056,285.897741917957,166.09621852674715,269.0021776768791,13.532411,1
156.01895,1.4854032,0.62023413,1.4854032,117.01966312675117,34.98539711112863,164.91255826858708,5.7323537,1
163.46393,1.0620991,0.5049786,1.0620991,129.58962111329816,58.15732037716395,62.991581175632106,2.3861165,1
68.17455,3.2689054,5.5154986,3.2689054,99.32682298275219,117.32518119416058,174.08766074815065,246.87558,1
2.9281445,2.4840658,0.7886622,2.4840658,75.48328593891657,67.21126674547688,250.1884948061462,20.384771,1
176.98006,2.3650157,0.37322527,2.3650157,89.88287129058055,68.17800491590238,351.5555057502043,8.744354,1
21.461975,5.772411,5.297172,5.772411,304.9336051045645,101.46251366057098,347.6384419274632,739.34503,1
100.23468,0.5602203,0.6507506,0.5602203,303.80752703883195,158.72952243697978,283.59572915573654,0.85550165,1
0.7182942,2.3962727,1.4512892,2.3962727,89.656169881357,102.30693577873612,200.9245501110546,34.907204,1
73.11188,0.97585744,1.7722476,0.97585744,206.31863813829744,38.39952717409977,203.02823724283854,7.0694523,1
138.63533,3.968175,2.2257185,3.968175,241.36125806133748,30.592612880495512,30.903734133240484,146.80489,1
138.45369,2.1539783,1.5687459,2.1539783,82.40405674912324,76.1539829610266,167.93050749054888,30.487646,1
23.279541,1.864429,1.0703893,1.864429,194.08215659972666,115.84724906867203,91.69086369240134,15.5855465,1
153.19717,3.357682,2.7154155,3.357682,5.328108582814558,38.68431005641134,128.5485731876727,128.23425,1
17.858606,4.7304106,2.258804,4.7304106,241.91715298025017,57.619804776427664,95.07252526745579,211.72144,1
177.83807,2.5101497,0.97261184,2.5101497,81.92876198676996,99.38238943322295,177.97792660473675,25.670094,1
175.68286,8.336992,5.9021516,8.336992,206.3847979025885,103.88387654653573,6.23991603055783,1718.3744,1
179.05405,3.6791484,1.9052374,3.6791484,298.0565044539616,45.26614531326431,103.85167807544941,108.02701,1
28.146032,11.435157,3.44665,11.435157,79.8239823937872,65.07472682717012,201.99511331854129,1887.8612,1
133.3872,0.5356159,0.85221845,0.5356159,139.7492734909541,60.55188400738868,95.5666282906131,1.0241097,1
174.45403,7.815299,2.5255072,7.815299,266.1483068375935,43.07487015547977,146.4528268058334,646.1427,1
179.4142,7.8892946,2.9617972,7.8892946,179.05950308881376,53.182575152836,247.27521244078736,772.18304,1
146.06728,3.910174,1.2128919,3.910174,343.12462352859393,161.29779798171998,1.738718693455597,77.67886,1
62.94503,1.1745468,1.9320576,1.1745468,300.13384855923925,26.677118170916827,72.16417993164497,11.16476,1
42.152596,2.1940663,0.9843948,2.1940663,76.39513961136677,22.561535087711732,178.43984175276861,19.84986,1
40.862152,1.0507826,0.94676375,1.0507826,46.949218889575384,51.89247697885967,182.80207816539314,4.3788085,1
128.37674,1.425744,2.0790493,1.425744,223.90756425987897,87.37517967833486,143.38960168552063,17.702578,1
171.28987,0.7895343,0.5860123,0.7895343,200.45354473899934,65.34269110147603,224.42403460121517,1.5301617,1
177.51942,1.293928,0.6480996,1.293928,170.80103449366865,63.11293417592433,247.8726402629361,4.545175,1
1.5008518,8.448997,3.543249,8.448997,86.78314900792661,76.96848048009262,227.64540245625088,1059.499,1
141.19833,6.4477186,2.8796651,6.4477186,231.42176970790905,61.825991703150095,208.2360774241368,501.46744,1
8.701273,2.1144104,0.51397216,2.1144104,229.63485952240669,115.24136395632101,262.4410517037559,9.625134,1
145.32687,1.6673942,1.1777203,1.6673942,19.93634741780028,95.97733143320497,338.1519894737016,13.7153635,1
174.9376,11.86853,3.7541566,11.86853,234.8678172950311,56.72956921408864,117.80546064674789,2215.1082,1
1.5489742,8.907378,2.6372445,8.907378,51.400341084319265,126.6242498540359,268.94948354819405,876.47345,1
71.36963,0.7035138,1.4779298,0.7035138,306.11357058384374,129.99542375874353,170.26445868280916,3.0639925,1
122.02429,0.5088231,0.8742237,0.5088231,85.20862333320134,88.84053163260678,49.84477996013427,0.94807976,1
12.113977,6.3148303,5.5179496,6.3148303,184.1913496101875,146.52453587009902,337.7403665908609,921.70026,1
24.438549,1.0991738,0.35412368,1.0991738,253.59898686100848,56.55654220537841,281.9943623703352,1.7921581,1
179.2465,3.3338065,0.8582649,3.3338065,113.78984079657623,107.83658698330744,310.6639025026641,39.95681,1
0.5780469,3.257159,1.8304899,3.257159,275.14113919835256,101.5123650540614,199.65538602627922,81.34556,1
6.34771,2.158451,0.94811004,2.158451,311.31262225992293,100.6791004870709,246.1470545788796,18.502558,1
139.04918,0.9305426,0.5077051,0.9305426,156.6487952056462,160.47517932799133,292.52020080390537,1.841504,1
169.52585,2.102771,0.88031095,2.102771,252.17690393422467,164.97590184589916,136.3908953896773,16.304546,1
168.28215,13.3655205,5.588981,13.3655205,103.0418545522495,62.460908704576774,54.49863411918774,4182.087,1
3.5732925,2.7963717,0.909173,2.7963717,57.13794962994353,53.86874436551689,86.47835109907273,29.780018,1
175.93814,4.352186,1.4586587,4.352186,270.8472620016888,42.44763711293984,54.740846066350805,115.73302,1
94.92156,1.5790372,1.8169649,1.5790372,88.47129434809005,131.4493310632497,14.536208372636342,18.976665,1
169.32126,3.6486454,2.6787496,3.6486454,141.99879343889776,77.16553113596207,127.88646513259697,149.3771,1
1.1655405,6.092865,2.5797136,6.092865,101.00803698779299,67.93612450931481,106.52921707286053,401.14673,1
65.63569,0.6821587,1.6428648,0.6821587,95.63648286289678,164.72755996154976,129.62553012707352,3.2022948,1
